title,iframe_url,categories
Club Tycoon: Idle Clicker,https://games.crazygames.com/en_US/club-tycoon-idle-clicker/index.html,Tycoon,Idle,Clicker
Fast Food Factory,https://games.crazygames.com/en_US/fast-food-factory/index.html,Factory,Idle,Food
Shoot Gun Clicker,https://games.crazygames.com/en_US/shoot-gun-clicker/index.html,Clicker,Idle,Gun
Idle Research,https://games.crazygames.com/en_US/idle-research/index.html,Idle,Research
Beekeeping Company,https://games.crazygames.com/en_US/beekeeping-company/index.html,Idle,Bees
Hamster Kombat Clicker,https://games.crazygames.com/en_US/hamster-kombat-clicker/index.html,Clicker,Idle,Hamster
Clickermon,https://games.crazygames.com/en_US/clickermon/index.html,Clicker,Idle,Monster
Pet Clicker,https://games.crazygames.com/en_US/pet-clicker/index.html,Clicker,Idle,Pet
Carnival Shooter,https://games.crazygames.com/en_US/carnival-shooter/index.html,Shooter,Idle,Carnival
Slime Clicker,https://games.crazygames.com/en_US/slime-clicker/index.html,Clicker,Idle,Slime
Fisquarium,https://games.crazygames.com/en_US/fisquarium/index.html,Fish,Idle
Mushroom Clicker,https://games.crazygames.com/en_US/mushroom-clicker/index.html,Clicker,Idle,Mushroom
Idle Streamer,https://games.crazygames.com/en_US/idle-streamer/index.html,Idle,Streamer
Idle IT Company,https://games.crazygames.com/en_US/idle-it-company/index.html,Idle,Tycoon,IT
Idle Reincarnator,https://games.crazygames.com/en_US/idle-reincarnator/index.html,Idle,Reincarnation
Ants: Fruits,https://games.crazygames.com/en_US/ants-fruits/index.html,Idle,Ants
Idle Space Business Tycoon,https://games.crazygames.com/en_US/idle-space-business-tycoon/index.html,Idle,Tycoon,Space
Merge & Pin: Idle Pinball,https://games.crazygames.com/en_US/merge-pin-idle-pinball/index.html,Merge,Idle,Pinball
Race Clicker,https://games.crazygames.com/en_US/race-clicker/index.html,Clicker,Idle,Racing
Run Idle,https://games.crazygames.com/en_US/run-idle/index.html,Idle,Runner
Idle Crushing Block,https://games.crazygames.com/en_US/idle-crushing-block/index.html,Idle,Block
Battery Clicker,https://games.crazygames.com/en_US/battery-clicker/index.html,Clicker,Idle,Battery
Flywheel Incremental,https://games.crazygames.com/en_US/flywheel-incremental/index.html,Idle,Incremental
Hacking Hero: Hacker Clicker,https://games.crazygames.com/en_US/hacking-hero-hacker-clicker/index.html,Clicker,Idle,Hacker
Lunapark Idle Clicker: For Fun,https://games.crazygames.com/en_US/lunapark-idle-clicker-for-fun/index.html,Idle,Clicker,Fun
IDLE Molecules,https://games.crazygames.com/en_US/idle-molecules/index.html,Idle,Science
Idle  Printers,https://games.crazygames.com/en_US/idle-printers/index.html,Idle,Factory
Idle Combine,https://games.crazygames.com/en_US/idle-combine/index.html,Idle,Merge
Slicer Cursor Idle,https://games.crazygames.com/en_US/slicer-cursor-idle/index.html,Idle,Cursor
Treasure Hunt Idle,https://games.crazygames.com/en_US/treasure-hunt-idle/index.html,Idle,Treasure
Noob's Chicken Farm Tycoon,https://games.crazygames.com/en_US/noob-s-chicken-farm-tycoon/index.html,Tycoon,Idle,Farm
Launch Idle,https://games.crazygames.com/en_US/launch-idle/index.html,Idle,Launch
Art Tycoon,https://games.crazygames.com/en_US/idle-art-tycoon/index.html,Tycoon,Idle,Art
Gem Refiner,https://games.crazygames.com/en_US/gem-refiner/index.html,Idle,Gem
Tower Merge,https://games.crazygames.com/en_US/tower-merge/index.html,Merge,Idle,Tower
Empire Clicker,https://games.crazygames.com/en_US/empire-clicker/index.html,Clicker,Idle,Empire
Orb of Creation,https://games.crazygames.com/en_US/orb-of-creation/index.html,Idle,Creation
Sword Merging Simulator,https://games.crazygames.com/en_US/sword-merging-simulator/index.html,Merge,Simulator,Sword
Idle Breakout,https://games.crazygames.com/en_US/idle-breakout/index.html,Idle,Arcade
Idle World,https://games.crazygames.com/en_US/idle-world/index.html,Idle,World
Commit Battery 2,https://games.crazygames.com/en_US/commit-battery-2/index.html,Idle,Battery
One Treasure,https://games.crazygames.com/en_US/one-treasure/index.html,Treasure,Idle
Chess Clicker,https://games.crazygames.com/en_US/chess-clicker-lhi/index.html,Clicker,Idle,Chess
Idle Soccer Manager,https://games.crazygames.com/en_US/idle-football-manager/index.html,Idle,Manager,Sports
Miner's Odyssey,https://games.crazygames.com/en_US/miner-s-odyssey/index.html,Mining,Idle,Adventure
Noob Basketball Clicker,https://games.crazygames.com/en_US/noob-basketball-clicker/index.html,Clicker,Idle,Sports
Craft Drill Clicker,https://games.crazygames.com/en_US/craft-drill-clicker/index.html,Clicker,Idle,Crafting
Martian Builders Tycoon,https://games.crazygames.com/en_US/martian-builders-tycoon/index.html,Tycoon,Idle,Martian
Cube vs Ball Clicker,https://games.crazygames.com/en_US/cube-vs-ball-clicker/index.html,Clicker,Idle,Cube,Ball
Quantum God,https://games.crazygames.com/en_US/quantum-god/index.html,Idle,God
Hot Road Infinite,https://games.crazygames.com/en_US/hot-road-infinite/index.html,Racing,Idle
